"handle","dataset.id","acc.mean.mod","acc.mean.old","acc.shape.mod","acc.shape.old","mem.strength","mem.mean","hiatus","thick","age.type","run","suit","ndates","success"
"ALLIE",29,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"ALMORA1",30,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,FALSE,0,NA
"HELLSKIT",3131,3.02,15,0.53,0.9,4,0.7,NA,5,"Varve years BP",FALSE,TRUE,6,NA
"LAKEMARY",3473,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,4,NA
"ANDERSLK",202,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"ANDREE",204,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,FALSE,0,NA
"ANDRUSLK",205,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,FALSE,0,NA
"BADMED",223,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"BBASS",241,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"BECKMAN",249,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"BECKMNBG",3062,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"BIGJOHN",272,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,4,NA
"BILLYS",275,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,8,NA
"BLANDIN",280,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"BLKHOOF",282,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,FALSE,0,NA
"BLUMOUND",287,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,6,NA
"BOBLAKE",296,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"BOGD",298,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,5,NA
"BOSSUOT",305,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"BROWNLK",313,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,FALSE,0,NA
"BROWNSBY",314,3.02,15,0.53,0.9,4,0.7,NA,5,"Calendar years BP",FALSE,FALSE,0,NA
"BURNTSDE",325,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"CAMP11LK",332,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,13,NA
"CAMP12LK",333,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,FALSE,0,NA
"CAMPBELL",334,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"CEDARBLK",352,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,4,NA
"CHIPPEWA",369,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,4,NA
"CINDY",382,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"MNGRCL",515,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"CRAZY",521,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"CUB2",532,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,7,NA
"DALTON",545,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"DARKLAKE",546,3.02,15,0.53,0.9,4,0.7,NA,5,"Varve years BP",FALSE,TRUE,40,NA
"DEMONTLK",679,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,7,NA
"DENTONLK",681,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,FALSE,0,NA
"DEVILSWI",684,3.02,15,0.53,0.9,4,0.7,NA,5,"Calibrated radiocarbon years BP",FALSE,TRUE,13,NA
"DISTER59",700,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,FALSE,0,NA
"DISTRHFT",3081,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,7,NA
"DOGFISH",717,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"DUNNIGAN",774,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,FALSE,0,NA
"EASTTWIN",781,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"EGGERT",786,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"ERNSTPIT",806,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,FALSE,0,NA
"FAITH",817,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"FARQUAR",822,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"FAWNLAKE",824,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"FOXPOND",846,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"FRAINSLK",847,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,9,NA
"FRENCH",850,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,5,NA
"GASS",860,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,8,NA
"GEORGE",869,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"MNBELG",15245,3.02,15,0.53,0.9,4,0.7,NA,5,"Calendar years BP",FALSE,FALSE,0,NA
"GOLDSMTH",967,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"GREENLK",982,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,4,NA
"GRICE",990,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"HANSEN",1004,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"HEMOPOND",1032,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"HORSE",1109,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"HORSHOHA",1110,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,5,NA
"HOSTAGE",1111,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,4,NA
"HUGLAKE",1134,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"HUSTLER",1138,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,FALSE,0,NA
"IOLABOG",1151,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,FALSE,0,NA
"IRVIN",1153,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,7,NA
"JACOBSN1",1163,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,FALSE,0,NA
"JACOBSN2",3138,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,4,NA
"MNSHBL",15274,3.02,15,0.53,0.9,4,0.7,NA,5,"Calendar years BP",FALSE,TRUE,3,NA
"KEGAN",1446,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"KELLHOL1",1447,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,3,NA
"KELLHOL2",3452,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,4,NA
"KELLNERS",1448,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,6,NA
"KIRCHNR1",1520,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,6,NA
"KIRCHNR2",3455,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,3,NA
"KITCHNER",1524,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,5,NA
"KOTIRANT",1548,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"KRYZ",1552,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"KYLENLK",1564,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,9,NA
"LAKE16",1580,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,6,NA
"LAKE27",1581,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,4,NA
"LAKEANN",1584,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"LAKEANNF",3468,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,3,NA
"LAKEANNH",3469,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,FALSE,0,NA
"LAKECARL",1588,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"LEWISLK",1629,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"LILYLAKE",1633,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,9,NA
"LITTBASS",1639,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,7,NA
"LITTLPIN",1643,3.02,15,0.53,0.9,4,0.7,NA,5,"Varve years BP",FALSE,TRUE,34,NA
"LKCLDSA",1649,3.02,15,0.53,0.9,4,0.7,NA,5,"Varve years BP",FALSE,TRUE,9,NA
"LKCLDSH",3482,3.02,15,0.53,0.9,4,0.7,NA,5,"Varve years BP",FALSE,TRUE,38,NA
"LKCLDSSW",3483,3.02,15,0.53,0.9,4,0.7,NA,5,"Varve years BP",FALSE,FALSE,NA,NA
"LOSTLAKE",1665,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"MABEL",1685,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,FALSE,0,NA
"STWDARK2",3781,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,6,NA
"MARTINPD",1708,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"MCCRANEY",1720,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"MCNRNY2A",1725,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,FALSE,0,NA
"MCNRNY3A",3485,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,FALSE,0,NA
"MCNRNY4A",3486,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,FALSE,0,NA
"MENDOTAC",1735,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,7,NA
"MENDOTAD",3488,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,6,NA
"MINNIEN",1757,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"MINNIEO",3492,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,4,NA
"MUDLKMN1",1777,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"MUDLKMN2",1778,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,5,NA
"MURPHY",1781,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"MYRTLE",1786,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,7,NA
"NELSLK",1793,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,FALSE,0,NA
"NELSONPD",1794,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"ONAMIA",1830,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"ONDRISPD",1831,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,4,NA
"OTTOMLK",1840,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,FALSE,0,NA
"PGONIABG",3541,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"POGONIA",3558,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,9,NA
"THIRDLK",3784,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,FALSE,0,NA
"THRDBGN",3786,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,FALSE,0,NA
"THRDBGW",3788,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"PENNINGT",1884,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"PETERSL",1891,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,4,NA
"PLEASAMN",1955,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"PORTAGE",1966,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,5,NA
"RADTKE",2011,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,9,NA
"REICHOW",2051,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"REIDEL",2053,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,8,NA
"RHOLL",2062,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"RICEMNA",2066,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,FALSE,0,NA
"RICEMNB",3568,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"ROSSBURG",2290,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,4,NA
"RUBYLAKE",2309,3.02,15,0.53,0.9,4,0.7,NA,5,"Varve years BP",FALSE,TRUE,37,NA
"RUTZLAKE",2314,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,9,NA
"RYERSE",2318,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,6,NA
"SEDIVY",2354,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"SEIDEL01",2355,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,4,NA
"SEIDEL02",3620,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"SHAGAWA",2375,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,3,NA
"SILVERMN",2383,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"SISEEBA",2394,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"SOLUM",2581,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"SOSTANCH",2584,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"SPECTACL",2585,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,2,NA
"SPIRIT",2586,3.02,15,0.53,0.9,4,0.7,NA,5,"Radiocarbon years BP",FALSE,TRUE,8,NA
