"handle","dataset.id","acc.mean.mod","acc.mean.old","acc.shape.mod","acc.shape.old","mem.strength","mem.mean","hiatus","thick","age.type","run","suit","ndates","success","dates"
"ADELINE","13060",3.02,15,0.53,0.9,2,0.5,1,20,"Calibrated radiocarbon years BP",FALSE,TRUE,7,1,"RC, CT, or presett"
"MNFRAL","12016",3.02,15,0.53,0.9,2,0.5,NA,20,"Calendar years BP",FALSE,FALSE,0,NA,"None"
"ALLIE","29",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"AMBER","14631",3.02,15,0.53,0.9,2,0.5,0,20,"Calendar years BP",FALSE,TRUE,3,1,"RC, CT, or presett"
"ANDRUSLK","205",3.02,15,0.53,0.9,2,0.5,NA,20,"Radiocarbon years BP",FALSE,FALSE,0,NA,"Lead"
"BADMED","223",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"BASSK","14270",3.02,15,0.53,0.9,2,0.5,0,20,"Calendar years BP",FALSE,TRUE,4,1,"RC, CT, or presett"
"BBASS","241",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"BECKMAN","249",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"BECKMNBG","3062",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"BIGJOHN","272",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,4,1,"RC, CT, or presett"
"BILLYS","275",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,8,1,"RC, CT, or presett"
"BLANDIN","280",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"BLOMFORD","10973",3.02,15,0.53,0.9,2,0.5,0,20,"Calendar years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"BLUMOUND","287",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,6,1,"RC, CT, or presett"
"BOBLAKE","296",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"BOGD","298",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,5,1,"RC, CT, or presett"
"BOSSUOT","305",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"BROWNLK","313",3.02,15,0.53,0.9,2,0.5,NA,20,"Radiocarbon years BP",FALSE,FALSE,0,NA,"Lead"
"BROWNSBY","314",3.02,15,0.53,0.9,2,0.5,NA,20,"Calendar years BP",FALSE,FALSE,0,NA,"Lead"
"BURNTSDE","325",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"CAMP","14633",3.02,15,0.53,0.9,2,0.5,0,20,"Calendar years BP",FALSE,TRUE,3,1,"RC, CT, or presett"
"CAMP11LK","332",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,13,1,"RC, CT, or presett"
"CAMP12LK","333",3.02,15,0.53,0.9,2,0.5,NA,20,"Radiocarbon years BP",FALSE,FALSE,0,NA,"Lead"
"CAMPBELL","334",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"CAMPLAKE","13057",3.02,15,0.53,0.9,2,0.5,0,20,"Calendar years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"CANYON","3055",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,10,1,"RC, CT, or presett"
"CEDARBLK","352",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,4,1,"RC, CT, or presett"
"CHIPPEWA","369",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,4,1,"RC, CT, or presett"
"CHUBLAKE","12010",3.02,15,0.53,0.9,2,0.5,0,20,"Calendar years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"CINDY","382",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"MNLYC2","12005",3.02,15,0.53,0.9,2,0.5,0,20,"Calendar years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"MNGRCL","515",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"CRAZY","521",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"CUB2","532",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,7,1,"RC, CT, or presett"
"DALTON","545",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"DARKLAKE","546",3.02,15,0.53,0.9,2,0.5,NA,20,"Varve years BP",FALSE,FALSE,0,NA,"None"
"DEANS","12007",3.02,15,0.53,0.9,2,0.5,0,20,"Calendar years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"DEMONTLK","679",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,7,1,"RC, CT, or presett"
"DENTONLK","681",3.02,15,0.53,0.9,2,0.5,NA,20,"Radiocarbon years BP",FALSE,FALSE,0,NA,"Lead"
"DEVILSWI","684",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,12,1,"RC, CT, or presett"
"DISTER59","700",3.02,15,0.53,0.9,2,0.5,NA,20,"Radiocarbon years BP",FALSE,FALSE,0,NA,"None"
"DISTRHFT","3081",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,7,1,"RC, CT, or presett"
"DOGFISH","717",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"DUNNIGAN","774",3.02,15,0.53,0.9,2,0.5,NA,20,"Radiocarbon years BP",FALSE,FALSE,0,NA,"Lead"
"EASTTWIN","781",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"EGGERT","786",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"ELEVENS","13069",3.02,15,0.53,0.9,2,0.5,1,20,"Calibrated radiocarbon years BP",FALSE,TRUE,10,1,"RC, CT, or presett"
"EMILY","12008",3.02,15,0.53,0.9,2,0.5,0,20,"Calendar years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"ESKALAKE","13071",3.02,15,0.53,0.9,2,0.5,1,20,"Calibrated radiocarbon years BP",FALSE,TRUE,6,1,"RC, CT, or presett"
"EVRHRTLK","12024",3.02,15,0.53,0.9,2,0.5,0,20,"Calendar years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"FAITH","817",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"FALLISON","13073",3.02,15,0.53,0.9,2,0.5,1,20,"Calibrated radiocarbon years BP",FALSE,TRUE,7,1,"RC, CT, or presett"
"FARQUAR","822",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"FAWNANMN","10974",3.02,15,0.53,0.9,2,0.5,0,20,"Calendar years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"FAWNLAKE","824",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"FOXPOND","846",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"FRAINSLK","847",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,9,1,"RC, CT, or presett"
"FRENCH","850",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,5,1,"RC, CT, or presett"
"FROVOLD","10975",3.02,15,0.53,0.9,2,0.5,0,20,"Calendar years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"GASS","860",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,8,1,"RC, CT, or presett"
"GEORGE","869",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"GLIMML1","13097",3.02,15,0.53,0.9,2,0.5,0,20,"Calibrated radiocarbon years BP",FALSE,TRUE,6,1,"RC, CT, or presett"
"GOLDSMTH","967",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"GOOSEMN","10976",3.02,15,0.53,0.9,2,0.5,0,20,"Calendar years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"GREENLK","982",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,4,1,"RC, CT, or presett"
"GRICE","990",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"HANSON","1004",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"HELLSKIT","3131",3.02,15,0.53,0.9,2,0.5,NA,20,"Varve years BP",FALSE,FALSE,0,NA,"None"
"HEMOPOND","1032",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"HORSE","1109",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"HOSTAGE","1111",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,4,1,"RC, CT, or presett"
"HUGLAKE","1134",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"HUSTLER","1138",3.02,15,0.53,0.9,2,0.5,NA,20,"Radiocarbon years BP",FALSE,FALSE,0,NA,"Lead"
"IOLABOG","1151",3.02,15,0.53,0.9,2,0.5,NA,20,"Radiocarbon years BP",FALSE,FALSE,0,NA,"None"
"IRVIN","1153",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,7,1,"RC, CT, or presett"
"IRWINSMT","13047",3.02,15,0.53,0.9,2,0.5,1,20,"Calibrated radiocarbon years BP",FALSE,TRUE,24,1,"RC, CT, or presett"
"JACOBSN2","3138",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,4,1,"RC, CT, or presett"
"MNSHBL","15274",3.02,15,0.53,0.9,2,0.5,0,20,"Calendar years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"KEGAN","1446",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"KELLHOL1","1447",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,3,1,"RC, CT, or presett"
"KELLHOL2","3452",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,4,1,"RC, CT, or presett"
"KELLNERS","1448",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,6,1,"RC, CT, or presett"
"KIMBLE","13032",3.02,15,0.53,0.9,2,0.5,1,20,"Calibrated radiocarbon years BP",FALSE,TRUE,11,1,"RC, CT, or presett"
"KIRCHNR1","1520",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,6,1,"RC, CT, or presett"
"KIRCHNR2","3455",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,3,1,"RC, CT, or presett"
"KITCHNER","1524",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,5,1,"RC, CT, or presett"
"KOTIRANT","1548",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"KRYZ","1552",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"LAKE27","1581",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,4,1,"RC, CT, or presett"
"LAKEANN","1584",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"LAKEANNF","3468",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,3,1,"RC, CT, or presett"
"LAKECARL","1588",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"LAKEMARY","3473",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,4,1,"RC, CT, or presett"
"LASTLAKE","12004",3.02,15,0.53,0.9,2,0.5,NA,20,"Calendar years BP",FALSE,FALSE,0,NA,"None"
"LEWISLK","1629",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"LILYLAKE","1633",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,9,1,"RC, CT, or presett"
"LITTBASS","1639",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,7,1,"RC, CT, or presett"
"LITTLPIN","1643",3.02,15,0.53,0.9,2,0.5,NA,20,"Varve years BP",FALSE,FALSE,0,NA,"None"
"LKCLDSH","3482",3.02,15,0.53,0.9,2,0.5,NA,20,"Varve years BP",FALSE,FALSE,0,NA,"None"
"LKCLDSSW","3483",3.02,15,0.53,0.9,2,0.5,NA,20,"Varve years BP",FALSE,FALSE,NA,NA,"RC, CT, or presett"
"LOSTLAKE","1665",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"LTDOLLAR","12001",3.02,15,0.53,0.9,2,0.5,1,20,"Calibrated radiocarbon years BP",FALSE,TRUE,3,1,"RC, CT, or presett"
"LYBECK","12014",3.02,15,0.53,0.9,2,0.5,0,20,"Calendar years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"MABEL","1685",3.02,15,0.53,0.9,2,0.5,NA,20,"Radiocarbon years BP",FALSE,FALSE,0,NA,"None"
"MARTINPD","1708",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"MCCRANEY","1720",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"MCNRNY2A","1725",3.02,15,0.53,0.9,2,0.5,NA,20,"Radiocarbon years BP",FALSE,FALSE,0,NA,"Lead"
"MCNRNY3A","3485",3.02,15,0.53,0.9,2,0.5,NA,20,"Radiocarbon years BP",FALSE,FALSE,0,NA,"Lead"
"MCNRNY4A","3486",3.02,15,0.53,0.9,2,0.5,NA,20,"Radiocarbon years BP",FALSE,FALSE,0,NA,"Lead"
"MENDOTAC","1735",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,7,1,"RC, CT, or presett"
"MENDOTAD","3488",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,6,1,"RC, CT, or presett"
"MINNIEN","1757",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"MINNIEO","3492",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,4,1,"RC, CT, or presett"
"MONSON","12006",3.02,15,0.53,0.9,2,0.5,0,20,"Calendar years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"MUDDLMN","12013",3.02,15,0.53,0.9,2,0.5,0,20,"Calendar years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"MUDLKMN1","1777",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"MUDLKMN2","1778",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,5,1,"RC, CT, or presett"
"MURPHY","1781",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"MYRTLE","1786",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,7,1,"RC, CT, or presett"
"NELSLK","1793",3.02,15,0.53,0.9,2,0.5,NA,20,"Radiocarbon years BP",FALSE,FALSE,0,NA,"Lead"
"OAKGLEN","13056",3.02,15,0.53,0.9,2,0.5,0,20,"Calendar years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"OCHEDA","10971",3.02,15,0.53,0.9,2,0.5,0,20,"Calendar years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"OLSONMN","10977",3.02,15,0.53,0.9,2,0.5,0,20,"Calendar years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"ONAMIA","1830",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"ONDRISPD","1831",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,4,1,"RC, CT, or presett"
"OTTOMLK","1840",3.02,15,0.53,0.9,2,0.5,NA,20,"Radiocarbon years BP",FALSE,FALSE,0,NA,"Lead"
"PENNINGT","1884",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"PERCHMN","12009",3.02,15,0.53,0.9,2,0.5,0,20,"Calendar years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"PETERSL","1891",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,4,1,"RC, CT, or presett"
"PGONIABG","3541",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"PLEASAMN","1955",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"POGONIA","3558",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,9,1,"RC, CT, or presett"
"PORTAGE","1966",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,5,1,"RC, CT, or presett"
"RACHEL","12011",3.02,15,0.53,0.9,2,0.5,0,20,"Calendar years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"RADTKE","2011",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,9,1,"RC, CT, or presett"
"REICHOW","2051",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"REIDEL","2053",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,8,1,"RC, CT, or presett"
"RHOLL","2062",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"RICEMNA","2066",3.02,15,0.53,0.9,2,0.5,NA,20,"Radiocarbon years BP",FALSE,FALSE,0,NA,"None"
"RICEMNB","3568",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"RNDGROVE","10983",3.02,15,0.53,0.9,2,0.5,0,20,"Calendar years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"ROSSBURG","2290",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,4,1,"RC, CT, or presett"
"RUBYLAKE","2309",3.02,15,0.53,0.9,2,0.5,NA,20,"Varve years BP",FALSE,FALSE,0,NA,"None"
"RUTZLAKE","2314",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,9,1,"RC, CT, or presett"
"RYERSE","2318",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,6,1,"RC, CT, or presett"
"SEDIVY","2354",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"SEIDEL02","3620",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"SHAGAWA","2375",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,3,1,"RC, CT, or presett"
"SHARKEY","13029",3.02,15,0.53,0.9,2,0.5,0,20,"Calibrated radiocarbon years BP",FALSE,TRUE,12,1,"RC, CT, or presett"
"SILVERMN","2383",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"SISEEBA","2394",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"SOLUM","2581",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"SOSTANCH","2584",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"SOUHERON","10970",3.02,15,0.53,0.9,2,0.5,0,20,"Calendar years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"SPECTACL","2585",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"SPIRIT","2586",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,8,1,"RC, CT, or presett"
"STCATHER","2600",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"STONE","2605",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"STONTAM1","2607",3.02,15,0.53,0.9,2,0.5,NA,20,"Radiocarbon years BP",FALSE,FALSE,0,NA,"None"
"STONTAM2","3780",3.02,15,0.53,0.9,2,0.5,NA,20,"Radiocarbon years BP",FALSE,FALSE,0,NA,"None"
"STWDARK2","3781",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,6,1,"RC, CT, or presett"
"SUNFISH","2613",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"TAMARACK","2624",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,6,1,"RC, CT, or presett"
"TERHELL","2638",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,3,1,"RC, CT, or presett"
"THIRDLK","3784",3.02,15,0.53,0.9,2,0.5,NA,20,"Radiocarbon years BP",FALSE,FALSE,0,NA,"None"
"THOMPSON","2640",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"THRDBGN","3786",3.02,15,0.53,0.9,2,0.5,NA,20,"Radiocarbon years BP",FALSE,FALSE,0,NA,"None"
"THRDBGW","3788",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"TOENJES","2648",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"TWINMN1","2881",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"UNION","12015",3.02,15,0.53,0.9,2,0.5,0,20,"Calendar years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"UPGRAVEN","2888",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,6,1,"RC, CT, or presett"
"VESTABRG","3831",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"WEBERLK","3837",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"WENTZEL","2948",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,5,1,"RC, CT, or presett"
"WESTOLAF","13051",3.02,15,0.53,0.9,2,0.5,0,20,"Calibrated radiocarbon years BP",FALSE,TRUE,11,1,"RC, CT, or presett"
"WHITLIL1","2952",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"WINTERGR","2961",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,10,1,"RC, CT, or presett"
"WOLSFELD","3031",3.02,15,0.53,0.9,2,0.5,1,20,"Calibrated radiocarbon years BP",FALSE,TRUE,12,1,"RC, CT, or presett"
"WOLVERIN","3032",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,7,1,"RC, CT, or presett"
"WOODLAKE","3035",3.02,15,0.53,0.9,2,0.5,1,20,"Radiocarbon years BP",FALSE,TRUE,8,1,"RC, CT, or presett"
"YELLOWDG","3047",3.02,15,0.53,0.9,2,0.5,0,20,"Radiocarbon years BP",FALSE,TRUE,10,1,"RC, CT, or presett"
"ZIEBELL","12012",3.02,15,0.53,0.9,2,0.5,0,20,"Calendar years BP",FALSE,TRUE,2,1,"RC, CT, or presett"
"FERRY","CLH2",3.02,15,0.53,0.9,2,0.5,0,20,"Radio",FALSE,TRUE,NA,1,""
"HELLHOLE","CLH3",3.02,15,0.53,0.9,2,0.5,0,20,"Radio",FALSE,TRUE,NA,1,""
"LONE","CLH5",3.02,15,0.53,0.9,2,0.5,0,20,"Radio",FALSE,TRUE,NA,1,""
"WARNER","CLH6",3.02,15,0.53,0.9,2,0.5,0,20,"Radio",FALSE,TRUE,NA,1,""
"LILY","CLH4",3.02,15,0.53,0.9,2,0.5,1,20,"Radio",FALSE,TRUE,NA,1,""
